,product_name,qty,location,payment_mode,price,Time
0,"Symphony DiET 12T Portable Air Cooler with i-Pure technology, 12 Litres",1,600126,Credit Card,5000.0,year-2021_month-05
1,"Canon Pixma GI-790 Original Ink Bottle, Black",1,403723,Credit Card,539.0,year-2021_month-05
2,"Realme 8 Pro, 128 GB, 6 GB RAM, Infinite Blue, Smartphone",1,123401,UPI,17249.0,year-2021_month-05
3,Apple Watch Series 6 GPS - 40 mm Gold Aluminium Case with Pink Sand Sport Band,1,522616,DC_EMI,38900.0,year-2021_month-05
4,"Realme 8 5G 128 GB, 4 GB RAM, Supersonic Blue, Smartphone",1,321403,Credit Card,14499.0,year-2021_month-05
5,"Apple HomePod mini Smart Speaker, White",1,363621,CREDIT_CARD,9600.0,year-2021_month-05
6,"Sony PS4 1TB Slim Bundled Spider-Man,GTS, R&C and PS+3M",1,401107,EMI,28490.0,year-2021_month-05
7,"Panasonic 1.8 litres Rice Cooker, SR-W18GH CMB",1,610104,Credit Card,2899.0,year-2021_month-05
8,"Samsung 138 cm (55 inch) Ultra HD (4K) QLED Smart TV, 55Q70T",1,247001,EMI,90490.0,year-2021_month-05
9, resQ Installation Service for LCD/PDP/RPTV/ Demo,1,247001,EMI,0.0,year-2021_month-05
10, Samsung Wall Mount WMN750M/XL,1,247001,EMI,0.0,year-2021_month-05
11,"Apple MWP22HN/A Wireless Airpods Pro with Wireless Charging Case, White",1,201012,Net Banking,21900.0,year-2021_month-05
12,"boAt Bassheads 110 Earphone with Super Extra Bass, in-line Mic, Black",1,201012,Net Banking,399.0,year-2021_month-05
13,"Apple HomePod mini Smart Speaker, White",1,363621,Credit Card,9600.0,year-2021_month-05
14,Apple Watch Series 6 GPS - 40 mm Gold Aluminium Case with Pink Sand Sport Band,1,522616,Credit Card,38900.0,year-2021_month-05
15,"OnePlus Bullets Wireless Headphone, Reverb Red (Sweat and Water Resistant)",1,221106,Paytm Wallet,1799.0,year-2021_month-05
16,"Apple iPhone SE 64 GB, Black (Includes Earpods and Adapter)",1,509001,Credit Card,38900.0,year-2021_month-05
17,Reconnect RH9101 Tower Air Cooler,1,620014,Credit Card,6599.0,year-2021_month-05
18,boAt Smart Watch Storm RTL Active Black,1,629502,Paytm Wallet,2599.0,year-2021_month-05
19,boAt Smart Watch Storm RTL Active Black,1,629502,Paytm Wallet,2599.0,year-2021_month-05
20,"Godrej 190 litres 2 Star Single Door Refrigerator, Pearl Wine RD EDGE 205B23TAF",1,753006,Credit Card,12240.0,year-2021_month-05
21,"Samsung Galaxy F62 128 GB, 8 GB RAM, Blue, Smartphone",1,826001,CREDIT_CARD,23999.0,year-2021_month-05
22,Philips BHH880 Hair Straightening Brush (Black),1,400706,UPI,2477.13,year-2021_month-05
23,"Philips MG7715/15 13-in-1 Hair Clipper, Face and Body Multigroomer Trimmer (Gray)",1,400706,UPI,3620.87,year-2021_month-05
24,Sony PlayStation 5 Console,1,560076,DEBIT_CARD,47990.0,year-2021_month-05
25,"Godrej 190 litres 2 Star Single Door Refrigerator, Pearl Wine RD EDGE 205B23TAF",1,753006,Credit Card,12240.0,year-2021_month-05
26,Reconnect RH9101 Tower Air Cooler,1,620014,Credit Card,6599.0,year-2021_month-05
27,"Saregama Carvaan Karaoke - Portable Music Player with 5000 Pre-Loaded Songs, FM/BT/AUX (Metallic Red)",1,121007,NETS,19240.0,year-2021_month-05
28,Apple Watch Series 6 GPS - 40 mm Gold Aluminium Case with Pink Sand Sport Band,1,522616,Credit Card,38900.0,year-2021_month-05
29,"Samsung Galaxy F62 128 GB, 8 GB RAM, Blue, Smartphone",1,826001,Credit Card,23999.0,year-2021_month-05
30,"Saregama Carvaan Karaoke - Portable Music Player with 5000 Pre-Loaded Songs, FM/BT/AUX (Metallic Red)",1,121007,Credit Card,19240.0,year-2021_month-05
31,Philips BHH880 Hair Straightening Brush (Black),1,400706,Credit Card,2477.13,year-2021_month-05
32,"Philips MG7715/15 13-in-1 Hair Clipper, Face and Body Multigroomer Trimmer (Gray)",1,400706,Credit Card,3620.87,year-2021_month-05
33,"OnePlus�Nord, 256 GB, 12 GB RAM, Blue Marble, Smartphone",1,400064,EMI,29999.0,year-2021_month-05
34,"Apple iPhone 12 128 GB, Blue",1,313001,Credit Card,79900.0,year-2021_month-05
35,"Realme 8 5G 128 GB, 4 GB RAM, Supersonic Blue, Smartphone",1,321403,Credit Card,14499.0,year-2021_month-05
36,LLOYD 1.5 Ton 3 Star EW Series GLW18B32WSEW Window AC with Self Diagnosis Function,1,110017,EMI,22547.57,year-2021_month-05
37, resQ Installation Service (No returns will be accepted if the installation is not done by resQ Engineers),1,110017,EMI,531.43,year-2021_month-05
38,Philips BHH880 Hair Straightening Brush (Black),1,400706,Credit Card,2477.13,year-2021_month-05
39,"Philips MG7715/15 13-in-1 Hair Clipper, Face and Body Multigroomer Trimmer (Gray)",1,400706,Credit Card,3620.87,year-2021_month-05
40,"Apple Wired EarPods with Lightning Connector,White",1,250001,UPI,1900.0,year-2021_month-05
41,"OnePlus Bullets Wireless Headphone, Reverb Red (Sweat and Water Resistant)",1,221106,Paytm Wallet,1799.0,year-2021_month-05
42,"Canon Pixma GI-790 Original Ink Bottle, Black",1,403723,Credit Card,539.0,year-2021_month-05
43,BLUESTAR 1 Ton 3 Star 3W12LA Window AC,1,400101,DEBIT_CARD,20990.0,year-2021_month-05
44,"OnePlus Bullets Wireless Headphone, Reverb Red (Sweat and Water Resistant)",1,221106,Paytm Wallet,1799.0,year-2021_month-05
45,Philips BHH880 Hair Straightening Brush (Black),1,400706,Credit Card,2477.13,year-2021_month-05
